Θユ繷计-羆计,Θユ繷计-キА秖,Θユ繷计-キА基,砏睫(75そょ)-繷计,砏睫(75そょ)-キА秖,砏睫(75そょ)-キА基,75そょ-繷计,75そょ-キА秖,75そょ-キА基,75()-95(ぃ)-繷计,75()-95(ぃ)-キА秖,75()-95(ぃ)-キА基,95()-115()-繷计,95()-115()-キА秖,95()-115()-キА基,115()-135(ぃ)-繷计,115()-135(ぃ)-キА秖,115()-135(ぃ)-キА基,135()-155(ぃ)-繷计,135()-155(ぃ)-キА秖,135()-155(ぃ)-キА基,155そょ-繷计,155そょ-キА秖,155そょ-キА基,瞊∣贺睫-繷计,瞊∣贺睫-キА秖,瞊∣贺睫-キА基,ㄤ睫-繷计,ㄤ睫-キА秖,ㄤ睫-キА基,紅-繷计,紅-キА秖,紅-キА基,Θユ羆计(ぃ紅)-繷计,Θユ羆计(ぃ紅)-キА秖,Θユ羆计(ぃ紅)-キА基
319,125.64,78.89,319,125.64,78.89,0,0,0,0,0,0,62,109.27,74.07,195,125.13,79.3,58,142.67,81.31,4,157.25,82.85,0,0,0,0,0,0,0,0,0,319,125.64,78.89
204,121.92,77.67,198,120.72,77.97,0,0,0,0,0,0,70,108.21,78.37,103,124.48,77.98,25,140.26,77.05,0,0,0,6,161.5,70.41,0,0,0,0,0,0,204,121.92,77.67
1297,121.18,75.29,1184,122.7,76.13,3,72.83,58.74,68,88.13,69.73,346,107.01,76.32,623,124.87,76.42,215,141.66,75.17,13,162.57,71.36,7,181.14,59.02,22,104.43,50.55,301,125.49,73.84,996,119.87,75.75
276,123.88,76.66,268,123.84,77.48,0,0,0,3,80.83,45.11,60,110.14,76.39,173,125.22,78.12,35,140.51,76.15,2,167,71.28,0,0,0,3,141.83,34.99,58,125.03,73.2,218,123.58,77.6
1415,124.97,73.85,1382,124.86,74.08,0,0,0,2,93.1,64,300,108.79,73.07,813,125.31,74.19,269,141.42,74.66,7,162.6,71.88,1,158,46,23,121.64,62.43,433,121.75,71.86,982,126.39,74.69
989,125.7,74.81,947,125.56,75.2,1,61,35.39,21,91.6,69.48,162,106.8,74.69,593,125.4,75.35,192,141.9,75.1,20,171.4,65.1,0,0,0,0,0,0,408,125.1,73.41,581,126.13,75.79
737,118.4,72.72,710,118.73,73.34,0,0,0,10,88.7,54.91,284,107.44,73.24,359,123.37,73.86,67,141.73,71.27,1,156,63,0,0,0,16,119.97,54.18,308,120.13,72.01,429,117.16,73.24
455,120.65,73.21,438,120.81,73.79,1,68.5,24.39,6,92.25,71.15,136,107.35,73.85,246,123.85,73.88,56,140.12,73.33,1,158.5,73.4,2,185.75,40.12,7,118.64,56.33,118,122.6,71.7,337,119.97,73.75
974,120.03,74.38,936,120.85,74.85,3,50,10,28,87.88,62.73,289,108.67,74.15,549,123.61,75.26,98,141.26,74.43,2,172.75,64.54,5,169.3,60.99,0,0,0,141,122.82,71.57,833,119.56,74.87
2084,115.84,72.15,1832,118.65,73.53,0,0,0,165,88.9,65.06,713,106.98,73.01,968,123.75,74.13,151,141.02,71.99,7,163.57,69.16,0,0,0,80,103.01,48.86,514,114.96,69.63,1570,116.13,72.97
717,114.59,72.77,646,117.46,73.63,0,0,0,59,88.5,63.7,281,106.8,73.1,325,123.9,74.1,40,140,73.1,0,0,0,0,0,0,12,88.3,56.1,202,118.1,71.2,515,113.21,73.42
697,119.58,74.12,683,119.87,74.46,3,58.07,13.56,6,90.2,63.01,233,108.79,73.85,392,123.48,74.83,58,140.04,74.2,3,176.07,64.29,0,0,0,2,112.9,46.36,156,119.6,71.23,541,119.57,74.96
2205,121.64,73.64,2112,121.59,74.12,0,0,0,26,91.25,69.12,741,108.24,73.2,1031,124.39,74.64,340,142.19,74.29,23,159.13,74.17,0,0,0,44,122.26,52.11,528,122.99,70.66,1677,121.21,74.59
1772,118.94,72.41,1580,120.1,73.73,24,67.1,36.55,69,89.38,61.92,575,107.54,73.24,817,124.1,74.09,188,141.09,73.48,20,161.23,69.74,14,186.43,54.01,65,113.72,62.85,255,125.24,71.1,1517,117.88,72.65
1528,118.91,74.58,1451,118.91,75.23,0,0,0,38,89.7,68.24,611,108.2,74.22,702,123.7,75.86,138,142,75.83,5,156.9,70.76,5,172.7,69.69,29,141,54.21,286,116.7,72.45,1242,119.41,75.06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628,138.39,84.59,598,138.31,85.02,0,0,0,1,92.5,67.4,28,110.14,80.21,283,126.42,83.03,184,144.15,85.99,103,168.22,88.48,0,0,0,29,141.59,76.5,38,127.42,71.75,590,139.1,85.35
2029,129.14,78.11,1861,126.48,78.49,0,0,0,20,89.5,63.5,417,107,74.6,868,125.2,79.1,576,142.5,79.8,130,164.2,79.8,18,195.8,50,0,0,0,160,122.48,70.45,1869,129.71,78.73
607,132.75,81.43,569,132.14,83.06,0,0,0,1,91.5,60,69,109.7,75.24,289,125.9,80.97,165,143.1,85.14,46,165.7,94.35,8,193.6,40.84,29,129.4,66.02,55,119.1,71.47,552,134.11,82.31
366,120.94,78.88,366,120.94,78.88,0,0,0,0,0,0,116,108.11,76.6,216,124.56,79.96,33,141.18,79.08,1,160,70,0,0,0,0,0,0,0,0,0,366,120.94,78.88
2333,130.11,76.13,2196,127.69,77.33,3,69.33,33.28,15,89.12,64.15,304,109.37,76.06,1272,125.14,77.66,620,141.9,77.21,119,181.55,61.79,0,0,0,0,0,0,282,126.7,72.5,2051,130.58,76.62
